"V639","V640","V641","V642","V643","V644","V645","V646","V647","V648","V649","V650","V651","V652","V653","V654","V655","V656","V657","V658","V659","V660","V661","V662","V663","V664","V665","V666","V667","V668","V669","V673","V680","V683","V684","V685","V686","V687","V688","V689","V690","V691","V692","V693","V694","V695","V696","V697","V698","V699"
"763",1,2,2,2,2,3,2,3,2,4,2,3,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,3,2,3,4,8,2,4,2,8,3,2,3,2,1,1
"764",1,4,2,1,4,2,1,2,1,4,1,2,4,4,5,3,4,3,4,5,4,2,2,2,2,2,3,2,3,1,3,1,5,5,1,4,1,3,1,5,8,2,2,0,3,8,8,8,4,0
"765",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"766",1,1,1,1,2,1,1,1,1,4,2,1,1,1,3,2,2,3,2,3,2,3,2,2,2,2,2,3,3,3,2,3,2,1,3,3,3,2,3,2,3,5,2,2,2,4,2,3,1,1
"767",1,1,1,1,1,1,1,9,9,3,2,2,3,1,4,4,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,4,2,2,2,4,2,1,4,4,4,4,1,1
"768",1,2,2,1,3,3,2,1,2,4,1,2,3,3,3,5,3,5,2,3,3,3,3,2,2,2,3,2,4,4,4,4,8,3,3,3,2,8,8,8,1,8,8,8,8,8,8,2,1,1
"769",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"770",1,2,2,1,1,3,8,1,1,4,1,2,3,2,1,3,3,5,3,1,3,2,2,1,2,1,2,3,9,4,3,4,4,8,2,3,1,3,2,4,2,8,2,3,5,3,2,2,1,1
"771",1,2,1,1,2,4,3,3,2,4,2,2,4,2,3,4,3,4,2,8,3,2,1,1,2,1,1,2,4,3,8,5,5,8,8,8,2,8,2,8,2,8,2,2,4,3,4,2,1,1
"772",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"773",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"774",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"775",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"776",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"777",1,2,2,2,3,1,1,1,1,4,2,3,2,2,3,3,2,4,2,3,3,2,2,1,3,1,2,2,3,2,3,4,3,2,3,3,4,3,3,2,2,4,2,2,2,3,3,2,1,1
"778",1,1,2,1,3,1,1,1,1,4,2,1,1,1,5,1,1,3,2,5,2,3,3,2,1,2,2,2,3,1,3,1,1,1,5,1,5,1,5,1,3,5,3,1,1,5,1,3,1,1
"779",1,1,1,1,4,2,1,2,1,4,1,1,3,3,5,2,2,5,4,1,5,2,2,1,2,2,2,2,2,3,4,3,1,1,5,3,4,2,4,1,1,5,3,2,3,3,3,3,1,1
"780",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"781",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"782",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"783",1,2,3,2,3,3,3,3,2,4,2,3,4,3,2,4,4,4,2,2,1,3,3,3,3,3,2,3,4,4,3,3,3,1,4,1,2,3,3,2,2,4,2,3,2,3,3,3,1,1
"784",1,2,2,1,2,2,3,2,1,4,2,4,4,8,8,8,2,2,8,8,3,2,8,2,2,2,8,8,8,8,8,4,8,3,3,3,2,8,4,2,8,5,2,9,8,8,8,8,4,7
"785",1,1,4,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,1,2,2,2,2,2,3,2,3,2,2,3,2,4,4,2,2,2,3,2,2,2,1,1
"786",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"787",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"788",1,1,1,2,2,2,3,2,1,3,2,2,3,2,4,2,2,4,3,3,8,2,2,2,3,2,2,8,8,8,3,4,4,2,4,2,4,4,2,2,2,4,2,0,8,8,8,8,4,0
"789",1,1,2,2,2,3,2,2,1,4,2,2,3,2,2,2,1,4,2,3,3,1,3,1,2,1,2,1,3,8,1,5,2,3,2,4,1,4,5,2,2,3,2,2,4,2,4,2,1,1
"790",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"791",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"792",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"793",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,3,2,1,4,2,3,3,2,2,1,1,1,3,2,3,3,1,1,2,3,2,4,2,1,1,4,2,1,2,3,2,2,1,1
"794",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"795",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"796",1,2,2,3,2,3,2,2,1,4,1,2,3,3,4,3,2,4,2,3,3,2,2,2,2,2,2,2,3,3,3,3,4,8,3,3,2,3,8,8,1,8,2,8,2,8,8,8,1,1
"797",1,2,2,2,3,3,2,3,1,2,2,2,4,3,3,8,2,4,3,3,8,2,2,2,2,2,3,3,3,3,3,4,2,8,3,3,2,4,3,3,2,3,2,3,3,3,3,3,4,1
"798",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"799",1,1,2,2,3,3,2,2,1,3,3,3,3,2,2,3,2,3,2,3,2,2,2,2,2,2,1,2,3,3,3,3,2,2,4,3,2,3,4,9,2,5,1,2,2,3,8,8,1,0
"800",1,3,3,2,3,3,2,2,1,3,1,1,3,2,5,2,1,4,2,3,8,1,3,1,1,1,2,3,3,3,2,3,2,2,2,4,3,3,3,2,2,3,2,1,2,4,2,4,1,1
"801",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"802",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"803",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"804",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"805",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"806",1,9,9,9,2,8,8,8,1,4,2,4,4,3,2,3,2,5,5,5,1,3,3,3,3,3,3,3,3,4,3,5,8,2,2,4,3,8,8,8,8,8,8,4,8,8,8,8,3,1
"807",1,2,3,2,4,2,2,3,1,4,2,2,2,2,3,5,3,4,5,3,2,3,8,8,8,8,4,2,3,3,4,5,5,1,3,2,2,3,2,1,1,3,2,8,8,8,8,8,1,1
"808",1,3,3,2,2,3,2,2,1,4,1,2,3,2,2,3,3,2,3,2,2,2,2,2,1,1,8,2,8,3,2,5,3,3,3,4,2,4,1,2,1,3,2,2,3,4,4,3,1,1
"809",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"810",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"811",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"812",1,2,2,2,2,2,2,3,2,2,2,3,2,3,3,5,4,5,3,3,3,2,2,2,2,2,2,2,3,3,3,4,4,4,2,3,2,4,3,2,2,3,2,8,3,4,2,4,1,1
"813",1,2,2,2,3,3,1,1,1,4,1,1,3,3,5,2,4,5,1,2,1,3,3,2,2,1,1,1,4,2,4,1,1,1,5,1,5,1,5,1,1,5,2,2,1,5,1,5,1,1
"814",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"815",1,1,3,2,2,3,2,1,1,4,1,1,4,3,2,8,2,4,5,2,2,2,2,1,2,1,2,1,8,4,1,5,4,4,2,4,2,4,4,2,1,8,2,8,4,4,2,4,1,1
"816",1,2,2,1,1,3,2,3,2,3,1,2,4,4,2,3,3,3,2,3,2,2,8,2,3,2,2,2,3,3,3,4,8,2,3,2,3,2,2,2,2,4,2,2,8,8,8,8,1,1
"817",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"818",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"819",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"820",1,2,3,2,2,3,2,3,1,2,1,2,3,3,5,4,4,4,8,5,8,8,2,2,2,2,2,2,8,2,2,5,3,8,3,8,2,5,2,1,1,8,2,3,8,8,2,2,9,1
"821",1,2,2,3,1,4,4,1,1,4,1,1,3,2,1,5,5,4,4,3,2,2,3,1,2,1,2,1,4,2,1,4,1,2,2,3,2,3,4,1,1,5,2,2,5,2,3,1,1,1
"822",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"823",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"824",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"825",1,1,1,2,1,3,2,2,1,4,2,1,4,3,2,3,2,2,2,3,3,2,3,2,1,2,1,2,3,4,2,5,4,4,4,4,2,5,2,4,1,2,2,3,2,4,2,4,1,1
"826",1,1,1,1,2,4,4,2,1,4,1,1,4,5,5,1,1,1,1,5,3,1,1,1,1,1,1,2,2,2,2,3,3,5,1,5,1,1,1,3,1,3,2,0,3,3,2,3,4,0
"827",1,2,2,2,2,1,1,1,1,4,4,4,4,2,3,4,2,3,4,4,3,8,8,8,8,8,8,8,8,8,8,3,3,2,3,3,3,3,3,2,2,5,2,8,8,8,8,8,1,1
"828",1,2,2,3,4,1,1,1,1,4,4,1,1,5,1,4,3,5,3,2,1,3,2,1,3,1,2,8,4,9,3,1,1,2,5,2,5,1,4,1,2,5,3,3,1,3,1,3,1,1
"829",1,2,2,2,2,2,2,2,2,4,2,3,2,2,1,4,3,4,3,2,2,2,2,2,2,2,2,4,4,4,2,1,2,2,5,2,5,1,4,1,4,5,3,2,3,4,2,3,1,1
"830",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"831",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"832",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"833",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"834",1,3,3,2,2,2,2,3,1,4,1,2,4,2,4,3,2,4,2,3,3,1,2,1,2,1,1,2,2,3,2,3,3,3,4,3,2,4,2,2,2,4,2,2,3,3,2,3,1,1
"835",1,3,3,3,3,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,9,2,2,4,3,3,2,3,2,3,2,2,2,4,2,8,3,3,2,2,4,1
"836",1,1,1,1,1,3,1,2,1,2,2,2,2,3,5,5,5,4,1,4,3,1,2,2,2,1,2,2,2,3,2,5,3,2,2,3,2,3,3,3,1,4,2,2,2,3,2,3,1,1
"837",1,1,2,1,1,2,2,2,1,4,1,2,3,1,5,1,1,4,3,4,5,1,1,1,2,1,2,2,3,2,2,4,2,3,2,5,2,4,2,2,1,3,2,2,2,5,2,5,1,1
"838",1,2,2,2,2,3,2,2,2,3,1,1,2,2,2,3,3,4,2,3,3,3,2,2,2,1,2,2,2,3,3,3,2,2,2,3,2,3,2,2,2,4,2,2,2,3,2,3,1,1
"839",1,2,2,2,2,1,1,1,1,1,1,1,1,1,5,2,2,4,2,3,2,1,2,2,2,1,2,2,3,2,2,4,3,5,2,4,2,4,4,2,2,3,2,1,2,2,3,4,1,1
"840",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"841",1,1,1,1,1,4,2,3,1,4,1,1,4,3,2,3,2,5,1,4,4,2,3,2,2,2,2,2,4,4,2,5,4,8,8,4,1,5,2,8,1,3,2,2,4,4,3,3,1,1
"842",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"843",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"844",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"845",1,2,3,2,3,2,1,2,2,4,1,3,4,2,2,2,3,3,1,3,3,2,1,2,3,2,2,8,8,4,3,5,4,3,2,2,1,4,3,4,1,2,2,2,3,2,3,2,1,1
"846",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"847",1,3,3,2,2,1,1,2,2,4,2,2,4,2,3,3,3,4,3,3,3,3,3,2,2,2,2,2,4,3,3,3,2,3,2,4,2,4,2,3,1,2,2,3,3,3,3,3,1,1
"848",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"849",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"850",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"851",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"852",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"853",1,2,2,2,2,3,3,2,2,4,2,3,3,4,2,4,2,2,2,4,2,2,3,2,2,2,2,2,3,3,2,2,4,4,2,4,2,4,2,2,2,3,9,3,2,4,2,4,1,1
"854",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"855",1,3,3,1,1,2,1,1,1,4,1,1,3,1,5,1,1,1,1,5,5,2,1,1,1,1,1,3,2,4,2,5,5,5,1,5,1,5,1,3,1,3,2,2,2,2,4,3,1,1
"856",1,1,1,1,1,4,1,1,4,4,1,4,4,1,4,1,3,1,3,2,1,2,2,2,2,2,2,2,2,2,2,4,1,3,3,3,3,3,3,3,3,3,1,0,4,4,3,3,1,0
"857",1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1,3,3,2,2,2,2,2,1,1,3,2,2,3,2,1,4,2,4,1,2,1,2,5,2,1,1,1,1,2,1,7
"858",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"859",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"860",1,2,2,2,2,1,1,2,2,3,3,2,2,3,4,2,2,2,2,4,4,8,2,2,2,2,1,2,2,2,3,3,2,1,4,2,4,2,4,2,2,5,3,2,4,9,3,2,1,1
"861",1,2,2,2,2,3,9,3,2,2,2,2,3,3,2,3,4,4,4,2,2,2,2,2,2,1,2,1,3,2,3,4,4,3,2,4,2,4,4,2,2,3,2,2,2,4,2,4,1,1
"862",1,2,2,2,2,3,2,2,1,4,1,2,2,2,2,3,3,2,1,3,3,2,2,2,1,2,1,2,8,2,2,5,3,1,4,1,2,4,2,1,1,5,2,0,2,3,2,2,4,1
"863",1,1,1,1,2,1,1,1,1,3,3,2,2,2,1,2,2,2,3,2,3,2,3,3,3,2,3,2,3,3,2,3,4,1,4,4,2,3,2,3,2,4,1,3,2,3,2,3,1,1
"864",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"865",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"866",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"867",1,3,2,2,2,2,2,3,3,2,2,3,4,3,2,2,3,2,2,4,4,3,2,2,2,2,3,2,2,3,2,4,2,1,5,4,4,1,3,1,1,5,2,2,2,4,2,4,1,1
"868",1,1,2,1,1,2,1,2,1,2,1,2,2,1,4,2,2,2,1,4,3,1,1,1,1,1,1,2,3,3,1,4,1,1,2,2,4,2,2,4,2,4,2,1,4,4,2,2,1,1
"869",1,2,2,2,4,1,1,1,1,4,4,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,1,2,3,2,4,2,1,2,3,4,3,4,5,3,3,4,2,3,3,3,3,3,1,1
"870",1,2,2,2,8,1,1,1,1,3,1,1,1,1,4,2,2,8,1,8,4,2,3,1,1,2,1,1,3,8,8,8,3,2,3,2,8,2,8,2,2,4,2,2,8,4,2,8,1,1
"871",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"872",1,2,2,2,2,3,2,3,2,3,1,3,3,3,3,4,2,5,4,4,3,2,3,8,2,2,8,1,8,8,8,4,3,3,3,4,2,3,4,3,2,3,2,8,3,2,4,2,1,1
"873",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"874",1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,4,1,3,3,2,2,2,3,2,1,2,2,1,3,3,2,2,4,4,3,4,5,1,3,5,2,2,2,3,3,2,1,1
"875",1,1,1,3,2,2,1,2,1,4,2,2,2,4,2,4,4,4,4,4,4,2,2,2,3,2,3,4,4,3,3,4,2,1,5,2,4,2,4,1,2,5,3,3,3,4,2,4,1,1
"876",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"877",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"878",1,2,2,2,2,3,1,1,1,4,1,1,1,5,1,5,1,5,1,1,5,1,4,4,8,8,4,2,4,4,4,5,5,1,5,5,1,5,1,1,1,3,2,2,5,5,5,5,1,1
"879",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"880",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"881",1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,3,1,3,1,5,1,4,4,2,3,1,1,4,2,2,2,1,1,1,2,1,5,1,5,1,2,5,3,1,5,5,5,3,1,1
"882",1,2,2,2,3,2,1,2,1,4,1,1,1,2,5,2,1,4,1,4,5,8,1,1,2,1,2,1,3,2,8,4,1,2,4,4,3,2,5,1,2,5,2,1,2,5,2,4,1,1
"883",1,1,2,1,1,2,2,1,1,4,2,1,3,2,4,3,2,4,1,3,3,3,2,3,2,2,1,2,2,2,2,4,2,2,2,4,2,3,4,2,1,3,2,2,2,4,2,4,1,1
"884",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"885",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"886",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"887",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,3,1,8,8,8,3,8,1,1,1,8,8,9,4,3,3,3,3,3,3,3,2,8,2,2,2,4,8,4,2,1
"888",1,2,2,2,3,1,1,8,1,3,1,1,3,1,5,1,1,8,1,2,8,2,1,1,1,8,2,8,2,1,8,1,1,1,3,1,5,1,5,1,2,5,2,1,1,3,1,1,1,1
"889",1,3,2,2,2,1,1,1,1,4,1,2,2,3,2,3,2,4,1,3,3,2,2,2,2,1,2,2,4,4,3,3,2,3,3,3,3,2,3,2,2,4,2,3,3,3,3,2,1,1
"890",1,3,2,2,3,8,8,2,2,9,9,9,9,8,3,4,2,9,9,9,9,8,8,8,2,2,8,8,3,8,3,8,1,3,3,3,3,8,8,2,1,4,2,3,8,8,8,8,1,1
"891",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"892",1,2,2,2,1,3,1,1,3,4,2,3,4,2,3,3,2,4,2,4,3,1,2,1,2,1,2,1,3,3,1,5,3,5,2,5,2,4,2,4,2,3,2,2,3,2,3,2,1,1
"893",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"894",1,2,2,2,2,3,2,2,2,3,2,2,3,2,2,4,3,4,4,2,2,3,3,2,2,2,2,2,3,4,3,4,4,3,3,4,2,4,2,4,2,4,2,2,2,2,2,3,1,1
"895",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"896",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
