"V639","V640","V641","V642","V643","V644","V645","V646","V647","V648","V649","V650","V651","V652","V653","V654","V655","V656","V657","V658","V659","V660","V661","V662","V663","V664","V665","V666","V667","V668","V669","V673","V680","V683","V684","V685","V686","V687","V688","V689","V690","V691","V692","V693","V694","V695","V696","V697","V698","V699"
"30",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"31",1,3,2,2,2,2,2,2,1,2,1,3,3,3,2,3,1,2,4,3,3,3,2,2,2,2,2,2,3,3,2,4,2,2,3,3,4,1,3,3,1,5,2,2,2,2,2,2,1,1
"32",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"33",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"34",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"35",1,2,3,2,2,2,2,3,2,3,2,2,3,2,4,5,4,4,2,4,4,1,2,1,1,2,1,1,3,3,2,5,3,4,2,4,2,4,4,3,2,3,2,2,3,4,2,4,1,1
"36",1,2,2,2,3,2,2,2,1,3,2,2,3,2,4,3,2,3,2,3,3,3,3,2,3,2,2,3,3,3,2,4,3,2,3,3,3,2,3,2,2,8,2,2,3,3,3,3,2,1
"37",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"38",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"39",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"40",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"41",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"42",1,3,3,2,1,2,2,2,2,4,1,2,4,2,3,2,3,5,2,3,3,2,3,3,2,2,2,2,4,4,2,5,4,3,2,4,2,4,2,4,2,3,2,3,4,2,3,2,1,1
"43",1,2,2,2,2,2,2,2,1,3,2,2,2,3,3,3,3,4,3,3,2,3,2,2,3,2,2,2,3,3,3,4,2,2,4,3,4,2,3,2,2,4,2,2,3,4,3,2,1,1
"44",1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,3,3,4,2,3,3,2,2,1,2,1,2,2,3,2,2,4,5,3,2,4,2,4,2,3,2,3,8,3,3,8,8,2,1,1
"45",1,9,9,9,9,9,9,9,9,4,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,4,3,2,3,4,8,1,4,3,3,3,4,1,3,5,2,2,3,3,4,2,1,1
"46",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"47",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"48",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"49",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"50",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"51",1,1,2,2,3,3,2,3,2,9,1,2,4,2,3,8,2,5,5,5,3,2,2,2,2,2,4,4,4,4,2,4,5,5,2,5,2,5,2,4,1,2,2,4,4,2,4,3,1,1
"52",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"53",1,3,2,2,3,1,1,1,1,3,1,3,3,1,4,3,3,4,2,4,1,2,2,2,1,1,2,2,3,3,2,5,2,2,5,1,5,1,4,1,2,5,3,2,2,4,2,2,1,1
"54",1,2,1,2,2,9,9,9,9,4,1,2,4,2,1,3,4,4,5,2,5,2,2,2,2,2,3,2,3,4,3,1,2,4,2,4,2,3,4,2,1,3,2,3,4,1,5,2,1,1
"55",1,3,2,2,2,3,2,3,1,4,2,2,3,3,2,4,4,2,2,4,3,3,2,2,2,2,2,2,2,3,3,4,4,2,3,4,2,4,2,4,2,3,2,3,3,4,2,4,1,1
"56",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"57",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"58",1,2,2,2,2,2,2,2,2,3,2,2,3,1,2,3,4,3,2,3,2,2,2,2,2,2,2,3,3,3,2,4,4,2,3,2,4,3,2,4,4,3,2,2,3,4,3,3,1,1
"59",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,3,2,4,2,4,1,1,2,1,1,1,1,1,1
"60",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"61",1,2,2,2,4,1,1,1,1,8,2,1,1,5,3,3,1,4,9,2,5,3,2,1,3,1,1,2,4,9,4,9,4,3,3,4,5,9,5,9,1,4,2,1,1,3,3,4,1,1
"62",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"63",1,1,1,1,2,3,2,2,1,3,1,2,3,2,2,3,3,4,1,2,2,2,2,2,1,1,1,2,2,4,4,2,3,3,2,3,1,4,2,4,1,2,2,2,3,2,2,3,1,1
"64",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"65",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"66",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"67",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"68",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"69",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"70",1,1,2,2,3,3,2,2,1,4,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,1,2,3,3,2,2,2,2,4,2,3,3,4,2,3,5,8,2,3,3,2,3,3,1
"71",1,2,2,2,2,3,2,2,1,4,1,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,4,3,3,3,4,2,3,3,2,1,3,2,2,3,2,3,2,1,1
"72",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"73",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"74",1,2,2,2,3,2,2,1,1,1,1,1,1,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,2,3,2,3,3,2,2,3,2,2,1,1
"75",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"76",1,1,1,1,1,2,3,2,1,3,1,2,2,2,4,8,2,4,2,4,8,2,2,2,1,1,8,8,8,8,2,3,2,2,4,2,3,2,2,2,1,5,2,0,8,8,8,8,4,0
"77",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"78",1,2,1,1,3,3,2,3,1,3,1,1,3,1,4,2,1,2,3,3,4,2,2,2,2,1,2,2,8,2,2,5,2,1,2,4,5,2,4,2,1,4,3,3,2,2,2,3,1,1
"79",1,1,2,2,8,1,1,1,1,2,1,1,2,1,2,2,1,2,1,3,1,2,1,1,2,1,1,8,2,3,2,3,8,3,3,2,4,2,5,1,4,5,2,1,1,8,1,4,1,1
"80",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"81",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"82",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"83",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"84",1,1,1,1,2,2,1,1,1,4,1,2,3,2,3,3,3,4,4,3,3,3,3,3,2,2,2,8,3,3,3,4,2,3,3,4,2,4,4,2,2,3,2,8,8,3,2,8,1,1
"85",0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"86",1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,3,2,4,1,2,1,2,2,2,2,2,1,1,3,1,1,4,4,1,4,3,2,3,2,2,2,9,2,1,2,4,2,3,1,1
"87",1,3,3,2,2,3,2,3,2,3,1,3,3,4,4,5,3,2,2,4,4,2,2,1,2,1,1,1,3,3,2,4,2,3,2,4,2,4,2,2,2,2,2,3,3,2,4,2,1,1
"88",1,2,2,1,2,3,1,1,1,2,1,1,3,2,3,2,1,5,1,5,2,1,2,1,2,1,1,1,8,2,2,4,2,2,3,5,2,4,5,2,1,4,2,2,2,2,2,2,1,1
"89",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"90",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"91",1,2,3,2,2,3,2,2,2,3,1,3,3,2,4,3,4,4,3,4,2,2,3,2,2,1,2,2,3,2,3,4,4,4,2,4,2,3,4,2,2,1,2,3,2,3,2,3,4,1
"92",1,2,2,2,2,4,4,4,1,4,2,4,4,3,2,3,3,4,2,3,2,8,3,3,3,2,2,8,9,1,3,3,3,4,2,2,5,8,8,8,8,5,2,2,3,3,3,3,1,1
"93",1,2,2,3,4,8,1,8,1,4,2,1,8,4,2,5,5,3,1,1,1,4,4,4,4,4,1,8,8,2,8,5,8,3,3,1,2,1,5,1,3,4,2,2,8,8,8,8,1,1
"94",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"95",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"96",1,1,2,2,3,1,1,2,1,2,1,2,3,3,8,8,8,4,2,3,8,3,3,2,2,2,2,2,8,3,3,3,2,2,3,2,4,2,3,1,1,4,2,2,5,2,4,8,1,1
"97",1,2,2,3,2,4,3,3,2,4,1,3,4,3,2,4,3,5,5,1,2,1,2,2,2,2,3,1,4,4,3,5,4,5,2,4,2,4,1,4,1,3,2,3,4,2,4,2,1,1
"98",1,1,1,1,2,2,1,1,1,2,1,2,2,1,4,2,2,2,1,3,3,2,1,1,2,2,1,2,4,4,3,3,1,3,4,2,3,2,3,1,2,4,2,1,2,3,2,2,1,1
"99",1,1,1,1,2,3,3,3,1,3,2,3,3,1,4,3,2,2,1,3,3,2,2,2,2,2,1,2,8,2,1,4,8,2,2,3,2,3,4,2,2,8,2,1,8,8,8,8,1,1
"100",1,1,2,2,3,2,2,3,1,2,1,1,3,2,5,2,2,3,4,5,1,1,2,1,2,1,2,8,2,3,2,5,2,4,3,2,2,2,2,2,4,5,2,2,3,3,4,3,1,1
"101",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"102",1,2,2,2,2,3,2,3,2,4,2,2,3,2,1,4,4,4,3,2,1,2,2,2,2,1,2,2,3,3,3,4,2,3,2,4,1,4,1,2,1,2,2,3,9,9,9,9,1,1
"103",1,1,1,1,1,1,1,1,1,4,2,1,1,1,2,3,3,3,5,5,5,2,1,1,1,1,3,3,4,4,1,3,5,5,1,5,1,5,2,3,1,3,2,2,4,2,5,1,1,1
"104",1,2,3,3,2,4,3,3,1,4,2,4,4,4,3,4,4,5,3,4,2,3,3,3,2,2,2,2,4,2,3,5,4,4,2,5,1,5,1,4,1,1,2,3,5,2,4,2,1,1
"105",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"106",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"107",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"108",1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,8,4,1,1,1,2,1,1,1,2,2,2,5,1,3,2,4,2,4,2,2,1,3,2,1,2,3,2,3,1,1
"109",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"110",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"111",1,1,1,2,2,2,2,3,1,4,2,3,4,3,2,5,4,5,2,2,3,3,4,2,2,2,2,2,4,3,3,1,3,4,4,4,4,3,4,2,4,5,2,2,3,4,4,4,1,1
"112",1,2,2,2,2,3,3,2,1,4,1,1,3,8,3,5,5,5,3,8,5,3,3,3,2,1,8,8,8,8,8,4,4,2,3,3,2,4,4,3,2,8,2,8,4,4,2,4,1,1
"113",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"114",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"115",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"116",1,2,2,2,2,4,4,3,1,3,2,4,4,3,9,3,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,8,1,3,1,3,2,0,8,8,8,8,4,0
"117",1,2,2,2,1,3,4,2,1,4,2,3,4,2,5,1,2,4,8,4,5,2,1,1,1,1,1,2,8,4,8,5,4,5,1,5,1,5,1,3,1,3,2,0,4,2,4,2,4,0
"118",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"119",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"120",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"121",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"122",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"123",1,1,1,1,3,1,1,1,1,3,1,1,1,2,3,3,2,2,3,4,8,2,2,1,1,1,2,2,3,2,2,3,1,3,2,5,3,5,4,1,1,4,2,2,8,8,8,8,1,1
"124",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"125",1,2,3,2,2,4,2,3,2,3,2,2,3,2,2,2,3,3,2,3,3,1,2,2,2,2,2,2,2,3,2,5,4,5,2,5,2,4,3,4,2,3,2,2,2,3,2,3,1,1
"126",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"127",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"128",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"129",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"130",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"131",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"132",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
